Card Type Full Name,Issuing Bank,Card Number,Card Holder's Name,CVV/CVV2,Issue Date,Expiry Date,Billing Date,Card PIN,Credit Limit,Fraud
Master Card,Wells Fargo,5.33607E+15,Alexandra O Sprague,788,Nov-13,Nov-14,28,3765,107900,0
Master Card,Wells Fargo,5.15209E+15,Paul Alexander,427,Dec-15,Dec-21,7,6092,107300,1
Discover,Discover,6.01135E+15,Mechelle Gillispie,763,Jun-10,Jun-14,2,1476,137000,1
Visa,Capital One,4.04086E+15,Thelma M Henderson,687,Sep-14,Sep-21,22,104,47900,0
American Express,U.S. Bancorp,3.79264E+14,Von Brownfield,4833,Jan-08,Jan-10,5,4258,65700,0
American Express,American Express,3.49635E+14,Patrick V Pierce,2054,Dec-11,Dec-18,21,8562,178300,0
Visa,Barclays,4.09483E+15,Jeromy S Badger,409,Oct-07,Oct-19,14,4723,139100,1
American Express,American Express,3.79798E+14,Randy N Morrison,8226,Dec-09,Dec-18,28,894,14300,0
Discover,Discover,6.0111E+15,Zula Durante,693,Dec-08,Dec-10,16,2797,105700,1
Discover,Discover,6.01143E+15,Bradley N Wilcox,251,Jan-08,Jan-22,27,2712,98200,0
Discover,Discover,6.01179E+15,Nina Pinson,565,Apr-16,Apr-20,5,5471,116800,1
American Express,American Express,3.7596E+14,Louise B Stephens,1210,Feb-15,Feb-27,9,1562,155500,0
American Express,American Express,3.42102E+14,Raymundo O Vue,1795,Jan-07,Jan-22,16,4556,76400,0
Discover,Discover,6.45833E+15,Steve Burgess,894,Jul-10,Jul-14,9,8650,191200,0
Diners Club International,Diners Club,3.0419E+13,Tracey I Gustin,316,Aug-08,Aug-17,7,6515,60200,0
Diners Club International,Diners Club,3.01019E+13,Victor R Dawson,997,Nov-12,Nov-26,24,4352,86000,0
Japan Credit Bureau,JCB,3.53076E+15,Angelique P Bunce,741,Sep-15,Sep-18,26,925,101000,1
Master Card,Bank of America,5.24357E+15,Manuel Navarro,860,Sep-07,Sep-21,12,7827,146800,0
Master Card,U.S. Bancorp,5.40435E+15,Lizeth U Kapp,640,Oct-12,Oct-23,16,6633,152200,0
American Express,U.S. Bancorp,3.40003E+14,Alma H Gibbs,5627,Dec-08,Dec-12,8,3549,170800,1
American Express,USAA,3.46199E+14,Jerrica D Threatt,3669,Jul-17,Jul-24,23,7174,141300,1
American Express,American Express,3.75001E+14,Frances B Ewing,244,May-17,May-26,18,59,139500,0
Japan Credit Bureau,JCB,3.57033E+15,Dionna H Bonney,729,May-07,May-26,16,9500,71500,0
Japan Credit Bureau,JCB,3.57841E+15,Roy J Fuller,811,Dec-16,Dec-27,18,8761,198600,1
Japan Credit Bureau,JCB,3.54079E+15,Thao M Bessette,66,Feb-14,Feb-29,2,2605,178300,0
